time_limit,exec_time,distance,vehicles,improvement_rate,benefit,cost_benefit_ratio,distance_per_vehicle,total_improvement,improvement_pct
3,3.025,1175.82,11,0.0,0.0,0.0,106.89272727272727,0.0,0.0
5,5.028,1022.05,10,76.88499999999999,153.76999999999998,30.753999999999998,102.205,153.76999999999998,13.077681958122842
7,7.096,1014.41,10,3.819999999999993,161.40999999999997,23.058571428571423,101.441,161.40999999999997,13.727441275025088
10,10.027,965.61,9,16.26666666666665,210.20999999999992,21.020999999999994,107.29,210.20999999999992,17.877736388222683
15,15.032,827.99,8,27.524,347.8299999999999,23.188666666666663,103.49875,347.8299999999999,29.581908795563944
30,30.04,709.86,6,7.875333333333333,465.9599999999999,15.531999999999998,118.31,465.9599999999999,39.628514568556405
